dsp_id	title	artists	isrc	usages	revenue
rknTgTfVzXvnIHEnBKeXNSTewvWXSO	heavy participant forward	Kimberly Floyd|Tammy Burgess|Mr. Marcus Harding|Krista Tran|Amanda Noble	IRLFH8333570	150431	3340985575.6804
qUnSInQTeFkxfmoMANketLNDbLQCib	skin on	Warren Norris|Erika Hernandez|Stanley Friedman|James Gonzalez	SBIKN9082139		66.942366064988
NgfDotEhvbFAwLNdxeBpWmfxVXakYm	situation high imagine back	Savannah Brown|Nathan Simpson|Kevin Brown|Robert Hahn|Jody Villa	ITEOW5819574	765853	950.859
VnsPywWrPfUXHmRWgAhfmNEcvGYcFs	man material system exist	Roger Weaver	UZRJK0489668	719019	10551908701.6
QNZZXpPmJKckZtdsBXVNXkemUKhEVK	appear happen before her	Melanie Craig|Jason Clayton|David Mitchell|Lori Wilson|George Alexander	AUZNO3250988	777703	8591843585426.0
yvpoCfIEmLsPmfacBhaXpBdcAzwUKB	reality happen none dream	Jacqueline Neal|Justin Stewart|Nicole Wood|Harold Odonnell|Erin Allen	TLAIP2113977	200917	2.3415393772
GZDulgCqQyHePBxUweJhUALzTAIsCh	push require street education	Denise Cross|Kelly Sanders|Matthew Snyder	BWUJT2102049	672145	620842361.429674
xDGlwMliOgATDHSTHzgubLneVJousn	quite where right	Stephanie Summers|Stephanie Turner|Dr. Nathan Harris	VEYCZ2475888	455515	615395.7876
QcYlfdlrEzTByUcYBMqPDXdLkBvcqP	piece box	Ann Castillo|Jacqueline Baker|Allison White	LKYSF0429528	289228	97987723646559.0
zNUplvVvtaMNDtbnKowFuodhtWdMbv	phone tax customer safe	Michael Nelson|Jonathan Mathis	IRWBT1453092	7931	74551.729
ltgzZoaHHeVNAwxRhpqTipbEYkekEA	able plan agency down	Adam Chavez	PALHZ2059623	144945	6980289.7
TUHUgTKQYkNxoubHAWEdvzflBdsfJh	foreign team	Vincent Miller|Aaron Camacho	NGMOU1980807	496890	730708105.8
tljpFhCjEmAgryRKZxkfiotbFzXQfa	quickly could those after	Charles Hill|Crystal Walker|Katherine Simon MD|Brian Stewart	SIZDM7541645	218830	1272.779724
lrwRClCIKmeRPaldjMtdgpsiqreUJT	thank vote	Kristopher Coleman|Melanie Ellis|Kelly Parker|Brooke Chan	SEPWD3442709	552472	5.461696430982
nCNexQUOIrkFSttoCkZUOFxFtuaYXo	base last fine door	Shane Murray	MCFQG8666252	103889	22.9860643
YGIjOFaKLFwMzDMEEJJzRwbtTsrYdA	war Mr color area	Joseph Bright|Kelly Cox|Daniel Coffey|Alan Drake|Brian Knight DVM		951091	31117.959
SGxVnhJatuUWLZRNgubOWyeNNgOYfV	stuff have five event	Emily Wilson|Heidi Sharp|Kristin Torres|Nicole Jones	MUXGV2958643	264509	6.46078
EfjNrlrwYpUIMqfETVzwgqwHhpVLtA	recent baby while	Lauren Maxwell|Damon Lowe|Rita Dominguez|Christopher Haynes|William Jones	CDMNT7910316	825705	2738603504470.3
WvMJPixkEsePNsOsnXylYIgjKNaojd	government those movie	David Greer|Kelly Mack|Juan Hobbs|John Burton	SOPQK3986386	96464	35926.529099983
JNzTfFMrSoTBzrSlPLJkSjjIMdxxom	of war turn week	Cassandra Howell	PKPGS1277942	193864	11586883759634.0
HVjRNgExqwXQwLQOYAVliCuVWnJfbO	forget sure project	Erica Welch|Megan Cervantes	NETVQ6687754	430854	46.562902
fOlhGFuLzYeILAxcTFcADMGQaQsGsL	skin receive	Oscar Douglas|Shane Davis	GDMAV8430810	691421	1327.891195366
XAIpObdDYzGDrhqXPyvEZDjsamnGIT	wish sign	Daniel Velazquez|Kara Klein|Steven Caldwell	LRCFK1175240	440745	164.49525163
vxYhlBcVpiJDyNBSbCvOomrovvovHj	bring road international against	Natalie Solomon|Ashley George	DOZGS6272539	234051	6294762.0
JypzxsPJVjOfxOcpKJFEDdOjjDtonU	person easy rock	Jordan Thomas|Ryan Alvarez MD	UGHEG2681660	939970	382824872931872.0
RuGFnuIiVyUTTZhTmGQSoDJITbsMcH	second bad		PAJXF8743271	217520	420.549117458
cBJvRVEAsjqteZSZyVvFrUQzBIbMib	explain I	Marilyn Thornton|Ryan Evans Jr.|Keith Barton|Edwin Leonard|Cheryl Foster	CVOWA0601260	868538	542147894.514
MWUjtOmZcFLXRFCZJYsVuLKVqUtfQd	prevent race	Doris Bryant|John Lloyd|Gary Oliver	CAWKY1061591	57930	88344463167.38
kSjjbkXNUEzpTBCBMCRBWdiKEWEcTG	play down	Nathan Shaw|Brian Sanchez|Laura Romero|Shaun Myers	OMWRD6222603	749364	1.31633348
hkPGILEabuFJQXuDmkQFAyQUEaxbBw	feeling leave art	Ellen Castillo	MTWUG0567543	497682	92650075272.0
tKIheiMzNofyOvpYOJhSKXuAhICJkW	especially section answer sure	Christina Ward	GNOET3626833	804951	67606.37337364
TiEVqxojUFEprtOQLsfEeddqfizqtV		Randy Thomas|Caitlyn Butler|Brianna Welch|Bobby Robertson	TONSF2829521	78635	681.71596242842
QRTmNkTXdOFVCWTjqgIpFlhcKFGjcI	picture attorney between	Angela Coleman|Connor Collins|Carrie Hamilton|Susan Robinson	BWZIP4915671	993456	333.46617
oUVIqAHMqGoJwSPvLBUjzbsZKzywVE	space boy table	Cynthia Summers	LSVHK6505390	476639	6823478.7
EzRRnqOQnczTOtWqoHsUwgRSueuunD	throw within black modern	Jeffery Rodriguez	BEKWL1294553	626387	691833488091585.0
srsvwVQmJTZqFUztPouKsHniQJDinw	coach sign skill region	Melvin Hernandez|Mario Torres|James Powell MD|Wendy Lynch	GBUAI4229625	235100	631005.14366
VYVqFjGKOGwKmAqgrxNVQZDfAvBOkG	seem article	Eric Lee	KMZQY8921728	217780	5151051379957.0
MoysNfPFtgYrZfvVAmPJNELioVOnuf	party rich policy two	Daniel Sherman	COJZS2754837	88737	48589211533.15
kwmLicTGKoryjUBZHGFumNYPzkxlqw	increase share day	James Marsh	BTORD2966865	32881	2689733.878
lAKbtygTxGUFaFHOmgqkJGmAGlrMMS	bad much political product	Matthew Patterson|Joshua Wilson|Ashley Hansen|Anna Bender	LAIEJ4043518	906215	550851.8444
woAswdsilkXBfujjpmvFoXylqzDjKX	movie only	Virginia Barber|Christine Hoffman|Christine Cook|Justin Torres|Justin Sawyer	MHYMR7970874	88034	294823804399826.0
pTdNHHYsQlpIiitdTgxepneTPpGytR	type traditional go	Robert Rivera|Wendy George	GTFYX9130235	385738	535741457151.246
anDgTgptgQJXsnHwGJEPsFuPtmjnJx	choice skill many	Mrs. Diana Obrien MD|Dylan Mueller|Janice Walker|Keith Ross|Lawrence Liu	BJDZU9857187	135815	959167931598168.0
IVbBYfvBPpstRpEyqgcxjGcVATmlKz	parent pay those	Morgan Garcia|Kelsey Martin|Hannah Copeland|Mr. Jonathan Shaffer	MCTTS9330400	284744	678.4
mPiGjWkCVeFThNULxgafCYqJmuMNAi		Christopher Reese|Jason Krueger|Angela Smith|Frederick Evans	LBYXJ9608404	772550	1193515568618.6
jsciMqxgEWbAMKSclgusdSzUoIdFet	some condition page on	Eduardo Martinez|Melissa Green|William Rodriguez|Laura Le|Alexandra Carter	BIFJG7197657	883347	7983103237.2
ucpGZYpCPIiofpPBfEkOMNuwTegSHf	while important	Jermaine Johnson|Crystal Russo|Ashley Nichols|William Medina	IQBYH7208102	356529	8410408143434.31
hfHdXTzrZaFMhtCDgwahtNGXVtNWtJ	according much Mrs	Brittany Morgan|Brooke Rhodes|Tracy Love|Kirk Allen	AEYUQ9221506	602485	75233941400.77
UIcNyVFdCBaRTdXEJvqtTmeShutUOF	want serve arm	Kelly Williams|Marco Adams|John Meyer	NZSKE1684308	149239	32216.319
vRYulMIxNjkbYgGvclLahEpTKQVrry	rest specific accept	Lynn Schultz|Deborah Hancock	HNBRX8859645	712009	18902911380802.6
YUuyxWbRyjyQWjyOVKfOeDNOtXmZuG	yeah enter for street	Cassandra Smith|Rachel Chavez|Mr. Mark Mccarthy|Brandon Schmidt	THDFP7174684	401652	224057984.492
UMDjSfjztqJSwuTffbLkbyczpZEIjP	they rest	Matthew Stein|Dana Roberts|Jerry Lewis|Melissa Cisneros	BDKKT6333136	556380	131067861240.0
TfYAzcGvNBFposzYaBAkJOtrsQqovT	edge job recent		VAGUV8538610	728946	79219.0
CHHEjIsvXVxAhYnUotSGMPZLBUljQo	ask discuss	John Johnson|Ralph Murray|Roger Smith|Richard Jarvis|Dawn Rubio	BGSVB2687170	131025	413.0
qVVmFsrDJnHXGfIWUxCtZdFPJAhIQr	general significant	Emily Moyer|Tracy Davis	MYDWE5863757	558433	1761955.0
bGvQwfvroASfiQgDlAVIWnLQQSHeDF	fact last	Carl Ramos|Christian Mendez|Denise Juarez|Virginia Barr|Brandon Cardenas		326248	658300.474
WYQuxhdOhEXzXjvhvTuNufnVRzjALx	teach take oil five	Wendy Campbell|Kathy Lowe|Jeffery Johnson|Maria Sims|Brittany Ferrell	GWOMF8262849	953562	1819393255746.0
ScXtLVncHgpKzEFSeMUsXNTMftOVmu	little generation too less	Todd Ward|Erin Carlson|Emily Salas|Devin Mata|Joseph Miller	AGJWI3577032	306750	
QFdAtOuAEkzOBMoTITmofYbjwuLSzU	direction region	Jamie Hernandez|Bobby Perez	ADIZP8484601	168578	19395328009237.0
uYLQLvHxpYwceXGHdgNbEapPoyueQS	success spring drive	Michael Mitchell|Donald Green|Michael Solomon|Lindsay Chambers|Anthony Harper	RSSVD3299057	813796	220193.0
BJmNTDCKbOWhbGbMaVOyjYhlNzkHJl	send in together	Christian Johnson	MVLYY6223675	574506	240447.2397913
QBorTBHnbvdOpJxGgpLFIhjttsaaGF		Crystal Moore|Martin House|Jay Page	NPSUC7550164	777705	3442984369883.3
eVvPvcNsORqbXGhPmevMcABjAUpMDE	his never	Vicki Lambert	TRDSB4054759	734214	54414.1558102
xaEXvDEEsVRBzztmXzeilHPrecRTnZ	still everything	Jessica Bennett|Donna Williams|Melissa Miller|Joshua Wallace|Amber Davila	PYLCW0577111	160501	5930105875700.49
MNqjuOkFVoEwDiRFbFAiNdtQydmodA	player list bag people	Justin Dawson|Tyler Ferrell		770146	49968.3
imtGOtewXueXcAKbKOwHaipGzqtTcR		Anita Shea	JOQTT9786475	870085	2882818.84
nBXxQUcMnAcsqlRDNykeSZpTCmHzft	spend president condition open	Edward Haley|Patrick Thomas	CFNIA7807803		
ZVODTVHxwgIPAfDISyUZvgveWHVcNH	nearly fund thought most	James Fleming|Kelly Edwards|Rebecca Meyers|Destiny Coffey|Christina Stephens	SNBBJ1786088	858218	500.251577
axreNUFkQCDlZaFoqiCOsmDpAULyJP	measure clearly population lawyer	Danielle Ferguson	HRBKW8298297	395251	53836378840726.6
gYwxyIwhFkHnkiKmgPSpLGeudFQszn	price able	Cameron Garcia|Claudia Davis	UYMIX9232574	335578	214478127887.0
NNIghEaUnrEDLedcixpIsMvftgysew	per note opportunity another	Gary Pearson|Eugene Williams|Mr. Jack Oliver	CYRCL7134587	78104	3440992014.35
xWpJfAaFVvpYlSSXNVALTNWIFSzfIM	whom church magazine fly	Randy Dougherty|Heidi Valenzuela|Jeremiah Murphy|Lisa Grant	PTDKA9669188	231781	127917936.964256
PtVbAZrAJXMuQAdsvrJFsZVUSzznYA	those do present often	Tammy Kelly|Shawn Soto|Karen Romero|Jeremy Hall	MCJGC2702000	546314	333995839807675.0
xkJWzpZyjWJlwpQhOswjQEqWFXEnjR	miss born	Jennifer Wiley|Tanya Lopez|James Ho|Jason Soto	BZXBP1084247	698889	667.7353761148
WMHGYBYqFxdjTkAVfulYgoQouEcREL	whole seek rule wife	Jesse Moore|Ashley Acosta|Kelsey Ferrell|Christina Davis	DMSBF5535390	544084	354146.90599515
oTvOupTLJAPSOvraHBEbdmxNaHOoPo	message money	Tanner Scott|Nicole Paul	IDQTE2005057	836602	170.545047190979
TvXZLQCfTLecsLMxiiFfzRnzUqwICg	majority me show	Christina Gonzales|Michael Walker|Allison Walker|Michele Barnes	HUPIJ4022797	351313	268967710749889.0
UNbqWaDQfrxmuBYLRPQVdoTryRyICn	rate success	Edward Oconnor|Timothy Jordan	GESGS5369318	996533	81868.0
tjmzKKPNwbaBsPGAqSjhuwioqIUhKv	piece once decide	John Garcia|Cheryl Grimes|Danny Rice|Crystal Gill|Brett Snyder	GTTZE5290092	393910	81012594.639335
azuDCSPwlGBHluyZbNKWqnQTWrdSCj	the traditional car	Matthew Ruiz|Teresa Li	MAGMQ5639618	396315	39354000795133.6
PbJOAWpzIGnltJMraiEkcOoPSbpNHt	heart clear hand	Miranda Chambers|Jason Foster	HRMED5171545	827320	46983.296
sbMHkxwFnmUuDjYqpxQAcWCYNOXmLT	southern role around hope	Melissa Stanley	FJCLG3744680	93536	252371511.34
SpbpjoQfRJhFjPCltAPQRsQyRanpEj	few spring	Alexandra Woods|Bobby Morrison|Andrew Harrell	GEJHX3303038	82249	7356170511.58
UXTTEzPYKLUUTvvNtvJDZcnvdyQWaW	radio baby father total	Tonya Smith|John Edwards|Donald Davila|Jacob Osborne|Brittany Chandler	MWKLH5652185	116365	98.848896006
KAwoDzWzcwCGjANmmMlQktXJTbWaSn	wall another	Oscar Delacruz|Elizabeth Klein	HUMPF9430631	893493	9503879.11891055
xuzjxfMGxDKpACyGLmmXgvqddHYBZv	visit your little yourself		NANWV8096153	354945	6334.787944
LujrXkjxFzvTygJnFSrqRUAZJBUvjo	water doctor just	Patrick Turner|Clifford Mayer|William Hernandez|Connor Lucas|Elizabeth Harrington	JOIZT7044223	30324	2511.28
kYyzcXwkdEaozhuKuAerAMpKLlLBYK	policy recognize	Robert Perry	GDJCH4742244	620577	786278632235.3
TzHMepcmKcHwwumwqUNcCIENnzQVSC	along tax kind require	Michael Jordan|Bruce Moore|Thomas Bonilla	UZZEB8752401	604466	55634470.6555978
NOCGTabsgfaayQIcKwLeGfPssrjesH	law physical person	Stephen Hart	KESSE3460278	744992	5395124246724.0
fhNdUwqIcpHtDOejqIruEBTcOSAbDr	thus build	Sara Meadows|Amy Fitzpatrick|Ryan Tanner|Jesus Parker|Kathy Anderson	KMRHV1916244	199545	5208425731.6376
yxNrxYZtaasoWtFlWzrJvGfNrAIYSO	another worry bit	Robert Estrada|Ian Alvarez|Steven Hernandez	HUIAF1927618	496722	945.7
YGXasIqBvHtpXSuPCGjuxVzHZuhksA	exactly manager girl	Patrick Velasquez|Kimberly Brown|Amber Pacheco|Frank Miller	SRAQM8493822	203034	0.179421403329
HKeOYUsAhObawuZDeyGOFnprJJfPKr	president seven	Shannon Valdez|Randall Martinez|Nicole Briggs|Christian Robinson	ECFNC4067813	278585	63.7
voFKcTiejAOmpTDmmiVzFQEcpeCtOV	worker hand	Mary Soto|Jeanette Davis|Rebecca Holloway|Joseph Walters|Kristine Ramos	BBMAB9634416	408562	
RmfXvDPQKEqSoIODeeArwkSZCmrAoe	main front method improve	Stephanie Barber|Patrick Peterson|Kristen Johnson	CNYOW6015012	422696	
ygbOpJoHwLcIhqcsnAzUmOTRoPYkNf	beat phone born	Charles Pennington|Jason Harris|Wesley Harding|Christopher Hudson|Anthony Gay	CFPUE3350707	650492	7321013514192.0
QvJzyOmLuVhurJOTUkWyQszgXlXZJF		Kristy Davis|Robert Smith|James Richardson|Joseph Torres	CMJYG8653880	401307	403747328065368.0
MjjfreiVLXiGpgsowXREJZTyBqpeWX	reason final itself happy	Randall Hall|James Salazar|Jennifer Ortega|Shawn Patel|William Perez	ZMTQE9919320	76215	843180765429.8
QZIpcAuYIiICUyOLwUihdZlNAgbGWC	through pick act law	Walter Lowery|Kelly Burns|Mark Snow|John Davis|Nathaniel Sloan MD	GRXBZ4760030	885997	91832152317133.0
nRmDQBmvmTqqjNMxTbhUguKqBnIGLP	from drop	Jacqueline Calderon|John Murray|Benjamin Smith|Shaun Wallace|Laura James	TNSQO1920917	78282	38258.4112
AVSAvmMLTIiYSooICVcwLrSanNZxgF	key money edge		KGQMF3998195	479522	2.1544172
CgxByPmhBaIqbGjPLrktCQSrcjAIyn	company check wonder	Sandra Sanders|Jerry Allen|Preston Spence|Robin Hernandez|Abigail Richardson	KHFJA3292922	663128	3.346
VKOfkkVhDJPdimGoOAvAKItGGxsTEo	price election	Alicia Owens|Felicia King|Teresa Porter|Tammy Benjamin	VUNRK8759733	878451	49.7497966
